level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,แม่จัน,เทศบาลตำบลแม่ไร่,แม่ไร่,6739,รพ.สต.แม่ไร่,รพ.สต.,20.256,99.864
จ.เชียงราย,เมืองเชียงราย,เทศบาลสันทราย,สันทราย,6654,รพ.สต.สันทราย,รพ.สต.,19.855,99.805
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลสันติสุข,สันติสุข,6708,รพ.สต.สันติสุข,รพ.สต.,19.575,99.765
จ.เชียงราย,แม่สาย,เทศบาลตำบลแม่สาย,แม่สาย,6755,รพ.สต.แม่สาย,รพ.สต.,20.431,99.913
จ.เชียงราย,แม่จัน,องค์การบริหารส่วนตําบลจอมสวรรค์,จอมสวรรค์,6742,รพ.สต.จอมสวรรค์,รพ.สต.,20.17,99.95
จ.เชียงราย,แม่ลาว,องค์การบริหารส่วนตําบลบัวสลี,บัวสลี,6810,รพ.สต.บัวสลี,รพ.สต.,19.804,99.768
จ.เชียงราย,เทิง,เทศบาลตำบลสันทรายงาม,สันทรายงาม,6702,รพ.สต.สันทรายงาม,รพ.สต.,19.717,100.18
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลดอยงาม,ดอยงาม,6709,รพ.สต.ดอยงาม,รพ.สต.,19.548,99.808
จ.เชียงราย,แม่ลาว,องค์การบริหารส่วนตําบลจอมหมอกแก้ว,จอมหมอกแก้ว,6809,รพ.สต.จอมหมอกแก้ว,รพ.สต.,19.757,99.747
จ.เชียงราย,แม่ลาว,องค์การบริหารส่วนตําบลจอมหมอกแก้ว,จอมหมอกแก้ว,11201,รพ.แม่ลาว,รพ.,19.757,99.747
จ.เชียงราย,ป่าแดด,เทศบาลตำบลศรีโพธิ์เงิน,ศรีโพธิ์เงิน,6727,รพ.สต.ศรีโพธิ์เงิน,รพ.สต.,19.435,99.934
จ.เชียงราย,แม่สาย,เทศบาลตำบลเวียงพางคำ,เวียงพางคำ,6760,รพ.สต.บ้านผาหมี,รพ.สต.,20.409,99.9
จ.เชียงราย,แม่สาย,เทศบาลตำบลเวียงพางคำ,เวียงพางคำ,11194,รพ.แม่สาย,รพ.,20.409,99.9
จ.เชียงราย,พาน,เทศบาลตำบลเมืองพาน,เมืองพาน,6719,รพ.สต.เมืองพาน,รพ.สต.,19.554,99.746
จ.เชียงราย,เทิง,องค์การบริหารส่วนตําบลศรีดอนไชย,ศรีดอนไชย,6703,รพ.สต.ศรีดอนไชย,รพ.สต.,19.609,100.092
จ.เชียงราย,เวียงป่าเป้า,เทศบาลตำบลเวียงกาหลง,เวียงกาหลง,6776,รพ.สต.บ้านทุ่งม่าน,รพ.สต.,19.241,99.525
จ.เชียงราย,เวียงป่าเป้า,เทศบาลตำบลเวียงกาหลง,เวียงกาหลง,6777,รพ.สต.เวียงกาหลง,รพ.สต.,19.241,99.525
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลหัวง้ม,หัวง้ม,6710,รพ.สต.หัวง้ม,รพ.สต.,19.538,99.771
จ.เชียงราย,แม่จัน,เทศบาลตำบลแม่คำ,แม่คำ,6731,รพ.สต.แม่คำ,รพ.สต.,20.251,99.902
จ.เชียงราย,แม่จัน,เทศบาลตำบลแม่คำ,แม่คำ,6732,รพ.สต.บ้านม่วงคำ,รพ.สต.,20.251,99.902
จ.เชียงราย,แม่จัน,เทศบาลตำบลแม่จัน,แม่จัน,6741,รพ.สต.จันจว้าใต้,รพ.สต.,20.138,99.87
จ.เชียงราย,แม่จัน,เทศบาลตำบลแม่จัน,แม่จัน,11192,รพ.แม่จัน,รพ.,20.138,99.87
จ.เชียงราย,แม่จัน,องค์การบริหารส่วนตําบลศรีค้ำ,ศรีค้ำ,6740,รพ.สต.ศรีค้ำ,รพ.สต.,20.221,99.797
จ.เชียงราย,เทิง,องค์การบริหารส่วนตําบลหนองแรด,หนองแรด,6704,รพ.สต.หนองแรด,รพ.สต.,19.607,100.143
จ.เชียงราย,แม่จัน,เทศบาลตำบลสันทราย,สันทราย,6735,รพ.สต.สันทราย,รพ.สต.,20.171,99.891
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเมืองชุม,เมืองชุม,6675,รพ.สต.บ้านดอนแก้ว,รพ.สต.,19.904,99.974
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเมืองชุม,เมืองชุม,14999,รพ.สต.เมืองชุม,รพ.สต.,19.904,99.974
จ.เชียงราย,ป่าแดด,เทศบาลตำบลสันมะค่า,สันมะค่า,6725,รพ.สต.สันมะค่า,รพ.สต.,19.466,100.048
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลม่วงคำ,ม่วงคำ,11190,รพ.พาน,รพ.,19.49,99.711
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลโป่งงาม,โป่งงาม,6761,รพ.สต.บ้านด้าย,รพ.สต.,20.325,99.869
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลโป่งงาม,โป่งงาม,6762,รพ.สต.โป่งงาม,รพ.สต.,20.325,99.869
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลโป่งงาม,โป่งงาม,10446,รพ.สต.บ้านผาฮี้,รพ.สต.,20.325,99.869
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลโป่งงาม,โป่งงาม,23020,รพ.สต.บ้านถ้ำ,รพ.สต.,20.325,99.869
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลศรีเมืองชุม,ศรีเมืองชุม,6759,รพ.สต.ศรีเมืองชุม,รพ.สต.,20.378,99.957
จ.เชียงราย,พญาเม็งราย,องค์การบริหารส่วนตําบลแม่ต๋ำ,แม่ต๋ำ,6782,รพ.สต.แม่ต๋ำ,รพ.สต.,19.926,100.239
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลโป่งผา,โป่งผา,6758,รพ.สต.โป่งผา,รพ.สต.,20.37,99.894
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลแม่เย็น,แม่เย็น,6718,รพ.สต.แม่เย็น,รพ.สต.,19.454,99.732
จ.เชียงราย,แม่สาย,เทศบาลตำบลห้วยไคร้,ห้วยไคร้,6756,รพ.สต.ห้วยไคร้,รพ.สต.,20.286,99.87
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลเกาะช้าง,เกาะช้าง,6757,รพ.สต.เกาะช้าง,รพ.สต.,20.398,100.01
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเวียงเหนือ,เวียงเหนือ,6672,รพ.สต.เวียงเหนือ,รพ.สต.,19.932,99.94
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลธารทอง,ธารทอง,6707,รพ.สต.ธารทอง,รพ.สต.,19.71,99.723
จ.เชียงราย,เชียงแสน,เทศบาลตำบลป่าสัก,ป่าสัก,6745,รพ.สต.บ้านแม่คำ,รพ.สต.,20.28,100.003
จ.เชียงราย,เชียงแสน,เทศบาลตำบลป่าสัก,ป่าสัก,6746,รพ.สต.ป่าสัก,รพ.สต.,20.28,100.003
จ.เชียงราย,แม่ลาว,เทศบาลตำบลป่าก่อดำ,ป่าก่อดำ,6811,รพ.สต.บ้านโป่งมอญ,รพ.สต.,19.794,99.715
จ.เชียงราย,แม่ลาว,เทศบาลตำบลป่าก่อดำ,ป่าก่อดำ,6812,รพ.สต.ป่าก่อดำ,รพ.สต.,19.794,99.715
