level0,level1,level2,code,name,note
เชียงใหม่,เมือง,ศรีภูมิ,50010102,รพ.เชียงใหม่ราม,รพ.
เชียงใหม่,เมือง,หายยา,50010301,รพ.รวมแพทย์,รพ.
เชียงใหม่,เมือง,หายยา,50010303,รพ.เชียงใหม่ใกล้,รพ.
เชียงใหม่,เมือง,ช้างม่อย,50010401,รพ.เทศบาล,รพ.
เชียงใหม่,เมือง,ช้างคลาน,50010501,รพ.แม่และเด็ก,รพ.
เชียงใหม่,เมือง,ช้างคลาน,50010504,รพ.เซนทรัลเมโมเร,รพ.
เชียงใหม่,เมือง,ช้างคลาน,50010505,รพ.ราชเวช,รพ.
เชียงใหม่,เมือง,วัดเกตุ,50010601,รพ.แมคคอร์มิค,รพ.
เชียงใหม่,เมือง,วัดเกตุ,50010603,รพ.ค่ายกาวิละ,รพ.
เชียงใหม่,เมือง,ช้างเผือก,50010701,เจ็ดยอด,รพ.สต.
เชียงใหม่,เมือง,ช้างเผือก,50010703,รพ.ช้างเผือก,รพ.
เชียงใหม่,เมือง,ช้างเผือก,50010705,รพ.สยามราษฏร์,รพ.
เชียงใหม่,เมือง,ช้างเผือก,50010706,คลินิกเวชกรรมชุมชนสุเทพ,PCU
เชียงใหม่,เมือง,สุเทพ,50010801,รพ.มหาราช,รพ.
เชียงใหม่,เมือง,สุเทพ,50010802,ศูนย์ศรีพัฒน์,รพ.
เชียงใหม่,เมือง,สุเทพ,50010803,รพ.กองบิน41,รพ.
เชียงใหม่,เมือง,สุเทพ,50010804,ศูนย์กามโรค,PCU
เชียงใหม่,เมือง,สุเทพ,50010805,ศูนย์สุขภาพชุมชนนครพิงค์,PCU
เชียงใหม่,เมือง,แม่เหียะ,50010901,ท่าข้าม,รพ.สต.
เชียงใหม่,เมือง,ป่าแดด,50011001,วังสิงห์คำ,รพ.สต.
เชียงใหม่,เมือง,หนองหอย,50011101,ศรีบุญเรือง,รพ.สต.
เชียงใหม่,เมือง,ท่าศาลา,50011201,ศรีบัวเงิน,รพ.สต.
เชียงใหม่,เมือง,ท่าศาลา,50011301,บวกครกน้อย,รพ.สต.
เชียงใหม่,เมือง,หนองป่าครั่ง,50011302,รพ.กรุงเทพ-เชียงใหม่,รพ.
เชียงใหม่,เมือง,ฟ้าฮ่าม,50011401,ขะจาว,รพ.สต.
เชียงใหม่,เมือง,ฟ้าฮ่าม,50011402,รพ.เทพปัญญา,รพ.
เชียงใหม่,เมือง,ป่าตัน,50011502,รพ.ลานนา,รพ.
เชียงใหม่,เมือง,สันผีเสื้อ,50011601,ป่าข่อยเหนือ,รพ.สต.
เชียงใหม่,เมือง,สันผีเสื้อ,50011602,บ้านท่าหลุก,รพ.สต.
เชียงใหม่,จอมทอง,บ้านหลวง,50020301,เมืองกลาง,รพ.สต.
เชียงใหม่,จอมทอง,บ้านหลวง,50020302,แม่หอย,รพ.สต.
เชียงใหม่,จอมทอง,บ้านหลวง,50020303,ขุนกลาง,รพ.สต.
เชียงใหม่,จอมทอง,ข่วงเปา,50020401,หนองห่าย,รพ.สต.
เชียงใหม่,จอมทอง,สบเตี๊ยะ,50020501,แท่นดอกไม้,รพ.สต.
เชียงใหม่,จอมทอง,บ้านแปะ,50020601,ห้วยทราย,รพ.สต.
เชียงใหม่,จอมทอง,บ้านแปะ,50020602,ท่าข้าม,รพ.สต.
เชียงใหม่,จอมทอง,บ้านแปะ,50020603,ดงเย็น,รพ.สต.
เชียงใหม่,จอมทอง,บ้านแปะ,50020604,ขุนแปะ,รพ.สต.
